,index,job_title,company_name,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Stata,Machine Learning,Data Mining/Analytics,NLP,Visualisation,Big Data,AWS Cloud,Probability,Support Vector Machines,Neural Networks,GCP,Jason,xml,Azure,Google Cloud,Mathematics,IBM,Algebra,Statistics,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,Team building,project_management,leadership,consulting
0,https://ca.linkedin.com/jobs/view/principal-deep-learning-researcher-engineer-at-magic-leap-2307990414?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Principal Deep Learning Researcher/Engineer,Not found,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,https://ca.linkedin.com/jobs/view/data-scientist-at-chrysalabs-2274630481?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,ChrysaLabs,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2,https://ca.linkedin.com/jobs/view/data-engineer-consultant-at-accenture-2307006498?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Engineer Consultant,Accenture,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
3,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-futuresoftit-2274681908?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,FutureSoftIT,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,https://ca.linkedin.com/jobs/view/data-scientist-client-success-at-equifax-canada-co-2273084640?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist - Client Success,Equifax Canada Co.,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
5,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-aviva-canada-2213596201?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Aviva Canada,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,https://ca.linkedin.com/jobs/view/data-scientist-at-visa-2241516352?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Visa,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://ca.linkedin.com/jobs/view/data-scientist-at-ubisoft-2303906701?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Ubisoft,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
8,https://ca.linkedin.com/jobs/view/data-scientist-ii-at-surveymonkey-2277168741?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist II,SurveyMonkey,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9,https://ca.linkedin.com/jobs/view/data-scientist-at-tripstack-2307904397?refId=cd0b781a-34e8-490c-a8dd-81d791061890&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,TripStack,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
